Team,,Record,,&Delta;,Rat,,Pwr,,Off,,Def,,HFA,SoS,
Limestone,South Atlantic,1-3,0.250,+5,38,4.04,41,0.55,39,28.62,43,-0.44,2.16,24,7.44
Western St CO,Rocky Mtn AC,0-1,0.000,-3,39,4.00,39,0.59,41,27.94,41,0.28,2.22,2,34.86
TX A&M K'ville,Lone Star,0-2,0.000,-5,40,3.96,34,3.25,30,31.31,42,-0.43,2.23,16,11.80
Mars Hill,South Atlantic,1-2,0.333,+5,41,3.94,44,-0.45,25,32.79,56,-5.61,2.19,40,3.67
Walsh,Great Midwest,1-4,0.200,+10,42,3.93,50,-4.22,60,20.05,29,3.36,2.23,19,10.07
Shorter,Gulf South,2-2,0.500,-3,43,3.93,47,-2.27,53,24.22,35,1.14,2.21,62,-4.51
NM Highlands,Rocky Mtn AC,1-0,1.000,-5,44,3.93,46,-2.13,36,29.44,55,-3.94,2.25,67,-11.17
Catawba,South Atlantic,0-2,0.000,+5,45,3.92,42,-0.19,51,25.87,34,1.57,2.27,12,14.85
Gannon,Penn St AC,1-3,0.250,+1,46,3.92,49,-3.66,50,26.04,49,-2.08,2.19,22,8.24
Wheeling,Mountain East,2-2,0.500,+4,47,3.91,53,-5.24,55,23.43,46,-1.04,2.18,52,0.96
WV State,Mountain East,2-2,0.500,+6,48,3.91,48,-2.97,44,27.57,52,-2.91,2.16,59,-3.24
Concord,Mountain East,1-0,1.000,-1,49,3.87,52,-4.78,49,26.15,54,-3.31,2.32,68,-12.93
Mercyhurst,Penn St AC,0-2,0.000,+3,50,3.79,43,-0.26,52,25.28,32,2.09,2.19,29,6.37
Southern Nazarene,Great American,0-3,0.000,-10,51,3.79,40,0.56,48,26.33,33,1.87,2.22,26,7.19
West Liberty,Mountain East,2-2,0.500,+3,52,3.79,51,-4.49,47,26.34,53,-3.21,2.26,64,-5.19
W New Mexico,Lone Star,0-1,0.000,-19,53,3.74,45,-1.63,42,27.82,48,-1.82,2.23,21,8.47
SW Baptist,Great Lakes Val,1-2,0.333,-5,54,3.65,54,-7.04,38,28.98,63,-8.40,2.31,50,1.36
KY Wesleyan,Great Midwest,1-4,0.200,+7,55,3.51,60,-11.45,65,18.67,50,-2.50,2.22,31,5.77
Quincy,Great Lakes Val,0-2,0.000,+2,56,3.46,55,-9.35,62,19.66,47,-1.39,2.23,15,12.46
NE Oklahoma,Mid America IAA,0-1,0.000,-15,57,3.24,62,-12.20,58,22.13,60,-6.70,2.29,5,27.59
Ft Lewis,Rocky Mtn AC,0-2,0.000,-1,58,3.24,58,-10.39,57,22.90,57,-5.66,2.36,30,6.29
Black Hills St,Rocky Mtn AC,0-2,0.000,-3,59,3.23,57,-10.28,54,23.65,59,-6.30,2.37,34,4.99
Wm Jewell,Great Lakes Val,0-3,0.000,,60,3.15,56,-9.96,43,27.63,65,-9.97,2.21,56,-0.12
Glenville St,Mountain East,0-4,0.000,+5,61,3.15,61,-11.47,64,19.00,51,-2.84,2.24,55,0.02
Barton,NCAA D2,0-4,0.000,-3,62,3.03,59,-10.44,56,22.94,58,-5.75,2.20,47,2.46
Lake Erie,Great Midwest,0-3,0.000,+1,63,2.98,63,-15.24,61,19.83,61,-7.45,2.21,46,2.63
WV Wesleyan,Mountain East,0-2,0.000,+1,64,2.90,64,-15.82,63,19.65,62,-7.84,2.29,63,-4.95
Erskine,NCCAA,1-5,0.167,-2,65,2.88,66,-20.23,66,17.32,64,-9.93,2.21,61,-4.03
Edward Waters,Southern IAC,1-2,0.333,+1,66,2.80,68,-24.87,68,13.51,66,-10.76,2.22,65,-6.86
Lincoln MO,Mid America IAA,0-2,0.000,-6,67,2.77,65,-19.71,59,21.10,67,-13.18,2.27,11,14.96
Ald-Broaddus,Mountain East,0-4,0.000,,68,2.49,67,-24.33,67,16.56,68,-13.26,2.31,57,-0.43
