team_id,state,hs_name,athletic_director,colors,mascot,school_type
/dc/washington/kipp-college-prep-panthers/,dc,KIPP College Prep,Treybourne Walker,,Panthers,NA
/dc/washington/sidwell-friends-quakers/,dc,Sidwell Friends High School,Keith Levinthal,,Quakers,Co-Ed/Public
/dc/washington/ron-brown-monarchs/,dc,Ron Brown High School,Evan Martin,,Monarchs ,Boys
/dc/washington/richard-wright-public-charter-school-spartans/,dc,Richard Wright Public Charter School,Milton Harris,,Spartans,Co-Ed/Public
/dc/washington/digital-pioneers-academy-pythons/,dc,Digital Pioneers Academy,Robert Harris,,Pythons,NA
/dc/washington/paul-public-charter-international-pirates/,dc,Paul Public Charter International,Mehgan Jones,,Pirates,Co-Ed/Public
/dc/washington/parkside-eagles/,dc,Parkside High School,Ernesto Natera,,Eagles,Co-Ed/Public
/al/phenix-city/central-red-devils/,al,Central High School,Roberto Morales,,Red Devils,Co-Ed/Public
/al/pinson/clay-chalkville-cougars/,al,Clay-Chalkville High School,Robert Adams,,Cougars,Co-Ed/Public
/al/alabaster/thompson-warriors/,al,Thompson High School,Cara Crosslin,,Warriors,Co-Ed/Public
/al/saraland/saraland-spartans/,al,Saraland High School,Jeff Kelly,,Spartans,NA
/al/semmes/mary-g-montgomery-vikings/,al,Mary G. Montgomery High School,Brad Lowell,,Vikings,Co-Ed/Public
/al/tuscaloosa/hillcrest-patriots/,al,Hillcrest High School,N/A,,Patriots,Co-Ed/Public
/al/trussville/hewitt-trussville-huskies/,al,Hewitt-Trussville High School,Hal Riddle,,Huskies,Co-Ed/Public
/al/auburn/auburn-tigers/,al,Auburn High School,Jennifer Ferguson,,Tigers,Co-Ed/Public
/al/vestavia-hills/vestavia-hills-rebels/,al,Vestavia Hills High School,Myra Miles,,Rebels,Co-Ed/Public
/al/gulf-shores/gulf-shores-dolphins/,al,Gulf Shores High School,Paul Wilson,,Dolphins,Co-Ed/Public
/al/enterprise/enterprise-wildcats/,al,Enterprise High School,Trent Trawic,,Wildcats,Co-Ed/Public
/al/dothan/dothan-wolves/,al,Dothan High School,Stan Eldridge,,Wolves,Co-Ed/Public
/al/montgomery/montgomery-catholic-knights/,al,Montgomery Catholic High School,Daniel Veres,,Knights,Co-Ed/Private
/al/muscle-shoals/muscle-shoals-trojans/,al,Muscle Shoals High School,Dr You,,Trojans,Co-Ed/Public
/al/birmingham/parker-thundering-herd/,al,Parker High School,Tyrus L. Moss,,Thundering Herd,Co-Ed/Public
/al/mobile/mobile-christian-leopards/,al,Mobile Christian High School,Joey Adams,,Leopards,Co-Ed/Private
/al/hoover/spain-park-jaguars/,al,Spain Park High School,NA,,Jaguars,Co-Ed/Public
/al/birmingham/ramsay-rams/,al,Ramsay High School,Kelly Cheatham,,Rams,Co-Ed/Public
/al/pike-road/pike-road-patriots/,al,Pike Road High School,Joi Washington,,Patriots,Co-Ed/Public
/al/mobile/baker-hornets/,al,Baker High School,Daniel Kertis,,Hornets,Co-Ed/Public
/al/oxford/oxford-yellow-jackets/,al,Oxford High School,David Weeks,,Yellow Jackets,Co-Ed/Public
/al/hoover/hoover-buccaneers/,al,Hoover High School,Andy Urban,,Buccaneers,Co-Ed/Public
/al/alexander-city/benjamin-russell-wildcats/,al,Benjamin Russell High School,Pamela Robinson,,Wildcats,Co-Ed/Public
/al/opelika/opelika-bulldogs/,al,Opelika High School,Spence McCracken,,Bulldogs,Co-Ed/Public
/al/birmingham/mountain-brook-spartans/,al,Mountain Brook High School,Benny Eaves,,Spartans,Co-Ed/Public
/al/jackson/jackson-aggies/,al,Jackson High School,Cody Flournoy,,Aggies,Co-Ed/Public
/al/spanish-fort/spanish-fort-toros/,al,Spanish Fort High School,Mark Freeman,,Toros,Co-Ed/Public
/al/gadsden/gadsden-city-titans/,al,Gadsden City High School,Carl  Hunter,,Titans,Co-Ed/Public
/al/helena/helena-huskies/,al,Helena High School,Chris Laatsch,,Huskies,NA
/al/decatur/austin-black-bears/,al,Austin High School,Michael Pryor,,Black Bears,Co-Ed/Public
/al/hueytown/hueytown-golden-gophers/,al,Hueytown High School,Scott Mansell,,Golden Gophers,Co-Ed/Public
/al/lineville/central-of-clay-county-volunteers/,al,Central of Clay County High School,Russell Hathcock,,Volunteers,NA
/al/hartselle/hartselle-tigers/,al,Hartselle High School,Pat Smith,,Tigers,Co-Ed/Public
/al/guntersville/guntersville-wildcats/,al,Guntersville High School,Johnny Harbison,,Wildcats,Co-Ed/Public
/al/theodore/theodore-bobcats/,al,Theodore High School,Lee Carter,,Bobcats,Co-Ed/Public
/al/pleasant-grove/pleasant-grove-spartans/,al,Pleasant Grove High School,Darrell LeBeaux,,Spartans,Co-Ed/Public
/al/eufaula/eufaula-tigers/,al,Eufaula High School,Bryan Moore,,Tigers,Co-Ed/Public
/al/birmingham/briarwood-christian-lions/,al,Briarwood Christian High School,Jay Mathews,,Lions,/Private
/al/prichard/vigor-wolves/,al,Vigor High School,Deric Scott,,Wolves,Co-Ed/Public
/al/mobile/st-pauls-episcopal-saints/,al,St. Paul's Episcopal High School,Jimmy Messer,,Saints,Co-Ed/Public
/al/madison/madison-academy-mustangs/,al,Madison Academy,Mark Mincher,,Mustangs,Co-Ed/Private
/al/daphne/daphne-trojans/,al,Daphne High School,Kenny King,,Trojans,Co-Ed/Public
/al/fyffe/fyffe-red-devils/,al,Fyffe High School,Heath Thrash,,Red Devils,Co-Ed/Public
/al/troy/charles-henderson-trojans/,al,Charles Henderson High School,Quinn Hambrite,,Trojans,Co-Ed/Public
/al/moody/moody-blue-devils/,al,Moody High School,Jay Brown,,Blue Devils,Co-Ed/Public
/al/centre/cherokee-county-warriors/,al,Cherokee County High School,Seth Neyman,,Warriors,Co-Ed/Public
/al/montgomery/percy-julian-phoenix/,al,Percy Julian High School,larry ware,,Phoenix,Co-Ed/Public
/al/andalusia/andalusia-bulldogs/,al,Andalusia High School,Ray Wilson,,Bulldogs,Co-Ed/Public
/al/athens/athens-golden-eagles/,al,Athens High School,Linda Moore,,Golden Eagles,Co-Ed/Public
/al/fairhope/fairhope-pirates/,al,Fairhope High School,Tim Carter,,Pirates,Co-Ed/Public
/al/tuskegee/booker-t-washington-golden-eagles/,al,Booker T. Washington High School,AJ Nelson,,Golden Eagles,Co-Ed/Public
/al/montgomery/carver-montgomery-wolverines/,al,Carver Montgomery High School,Virginia Franklin,,Wolverines,Co-Ed/Public
/al/jacksonville/jacksonville-golden-eagles/,al,Jacksonville High School,David Clark,,Golden Eagles,Co-Ed/Public
/al/roanoke/handley-tigers/,al,Handley High School,Jacqueline Hodnett,,Tigers,Co-Ed/Public
/al/madison/james-clemens-jets/,al,James Clemens High School,Rocky Smith,,Jets,Co-Ed/Public
/al/homewood/homewood-patriots/,al,Homewood High School,Kevin Tubbs,,Patriots,Co-Ed/Public
/al/auburn/lee-scott-academy-warriors/,al,Lee-Scott Academy,Mr. Robert Samford,,Warriors,Co-Ed/Public
/al/geraldine/geraldine-bulldogs/,al,Geraldine High School,Marilyn Brown,,Bulldogs,Co-Ed/Public
/al/foley/foley-lions/,al,Foley High School,Tad Niblett,,Lions,Co-Ed/Public
/al/demopolis/demopolis-tigers/,al,Demopolis High School,Tom Causey,,Tigers,Co-Ed/Public
/al/mobile/rain-red-raiders/,al,Rain High School,Edwin Burke,,Red Raiders,Co-Ed/Public
/al/mobile/faith-academy-rams/,al,Faith Academy,Tim Skelton,,Rams,Co-Ed/Public
/al/headland/headland-rams/,al,Headland High School, Jim Drake ,,Rams,Co-Ed/Public
/al/northport/tuscaloosa-county-wildcats/,al,Tuscaloosa County High School,Cynthia Simpson,,Wildcats,Co-Ed/Public
/al/montgomery/saint-james-trojans/,al,Saint James High School,Gerald Browning,,Trojans,Co-Ed/Private
/al/mccalla/mcadory-yellowjackets/,al,McAdory High School,Angie Kitchens,,Yellowjackets,Co-Ed/Public
/al/trinity/west-morgan-rebels/,al,West Morgan High School,Mike Johnson,,Rebels,Co-Ed/Public
/al/mobile/ums-wright-prep-bulldogs/,al,UMS-Wright Prep,Terry Curtis,,Bulldogs,Co-Ed/Private
/al/leeds/leeds-greenwave/,al,Leeds High School,Linda Brasher,,Greenwave,Co-Ed/Public
/al/montgomery/trinity-presbyterian-wildcats/,al,Trinity Presbyterian High School,Brian Seymore,,Wildcats,Co-Ed/Private
/al/florence/florence-falcons/,al,Florence High School,Byron Graham,,Falcons,Co-Ed/Public
/al/lafayette/chambers-academy-rebels/,al,Chambers Academy,NA,,Rebels,Co-Ed/Public
/al/fort-payne/fort-payne-wildcats/,al,Fort Payne High School,Brian Jet,,Wildcats,Co-Ed/Public
/al/birmingham/john-carroll-catholic-cavaliers/,al,John Carroll Catholic High School,Ronald Steele,,Cavaliers,Co-Ed/Private
/al/notasulga/reeltown-rebels/,al,Reeltown High School,matt johnson,,Rebels,Co-Ed/Public
/al/phenix-city/glenwood-gators/,al,Glenwood High School,darrell owens,,Gators,Co-Ed/Public
/al/mobile/mcgill-toolen-yellowjackets/,al,McGill-Toolen High School,Bill Griffin,,Yellowjackets,Co-Ed/Public
/al/kimberly/mortimer-jordan-blue-devils/,al,Mortimer Jordan High School,Dustan Goode,,Blue Devils,Co-Ed/Public
/al/florence/mars-hill-bible-panthers/,al,Mars Hill Bible High School,Jeff Peek,,Panthers,Co-Ed/Private
/al/scottsboro/scottsboro-wildcats/,al,Scottsboro High School,Scott Hodges,,Wildcats,Co-Ed/Public
/al/centreville/bibb-county-choctaws/,al,Bibb County High School,Matt Geohagan,,Choctaws,Co-Ed/Public
/al/prattville/prattville-lions/,al,Prattville High School,Mark Doss,,Lions,Co-Ed/Public
/al/mobile/davidson-warriors/,al,Davidson High School,Fred Riley,,Warriors,Co-Ed/Public
/al/sylvania/sylvania-rams/,al,Sylvania High School,Keith Atchley,,Rams,Co-Ed/Public
/al/madison/bob-jones-patriots/,al,Bob Jones High School,Tom Runnion,,Patriots,Co-Ed/Public
/al/pelham/pelham-panthers/,al,Pelham High School,Mike Vickery,,Panthers,Co-Ed/Public
/al/thomasville/thomasville-tigers/,al,Thomasville High School,Donnie Fendley,,Tigers,Co-Ed/Public
/al/dothan/houston-academy-raiders/,al,Houston Academy,Jack Whigham,,Raiders,Co-Ed/Public
/al/brewton/tr-miller-tigers/,al,T.R. Miller High School,Andrew Thomas,,Tigers,Co-Ed/Public
/al/birmingham/center-point-eagles/,al,Center Point High School,Dionne Williams,,Eagles,Co-Ed/Public
/al/valley/valley-rams/,al,Valley High School,Chad Lowe,,Rams,Co-Ed/Public
/al/pinson/pinson-valley-indians/,al,Pinson Valley High School,Patrick Nix,,Indians,Co-Ed/Public
/al/russellville/russellville-golden-tigers/,al,Russellville High School,Mark Heaton,,Golden Tigers,Co-Ed/Public
/al/leroy/leroy-bears/,al,Leroy High School,Jonathan Adams,,Bears,Co-Ed/Public
/al/citronelle/citronelle-wildcats/,al,Citronelle High School,Jason Barnett,,Wildcats,Co-Ed/Public
/al/wetumpka/wetumpka-indians/,al,Wetumpka High School,BEAR Woods,,Indians,Co-Ed/Public
/al/sylacauga/comer-tigers/,al,Comer High School,Adam Fossett,,Tigers,Co-Ed/Public
/al/huntsville/huntsville-panthers/,al,Huntsville High School,Mark Fleetwood,,Panthers,Co-Ed/Public
/al/gadsden/southside-panthers/,al,Southside High School,Angie Reavis,,Panthers,Co-Ed/Public
/al/montgomery/lanier-poets/,al,Lanier High School,Lawrence Cole,,Poets,Co-Ed/Public
/al/andalusia/straughn-tigers/,al,Straughn High School,John Higgins,,Tigers,Co-Ed/Public
/al/birmingham/shades-valley-mounties/,al,Shades Valley High School,Rueben Nelson/Kimberly Evans,,Mounties,Co-Ed/Public
/al/harvest/sparkman-senators/,al,Sparkman High School,Jason Watts,,Senators,Co-Ed/Public
/al/elba/elba-tigers/,al,Elba High School,Pate Harrison,,Tigers,Co-Ed/Public
/al/highland-home/highland-home-flying-squadron/,al,Highland Home High School,Douglas Balley,,Flying Squadron,Co-Ed/Public
/al/ozark/carroll-eagles/,al,Carroll High School,Brad Barton,,Eagles,Co-Ed/Public
/al/gardendale/gardendale-rockets/,al,Gardendale High School,matt plunkett,,Rockets,Co-Ed/Public
/al/dothan/rehobeth-rebels/,al,Rehobeth High School,Pate Harrison,,Rebels,Co-Ed/Public
/al/rogersville/lauderdale-county-tigers/,al,Lauderdale County High School,Eric Cornelius ,,Tigers,Co-Ed/Public
/al/cullman/cullman-bearcats/,al,Cullman High School,NA,,Bearcats,Co-Ed/Public
/al/cullman/fairview-aggies/,al,Fairview High School,Stanley Burden,,Aggies,Co-Ed/Public
/al/gordo/gordo-green-wave/,al,Gordo High School,Eddie Hankins,,Green Wave,Co-Ed/Public
/al/chelsea/chelsea-hornets/,al,Chelsea High School,Michael Stallings,,Hornets,Co-Ed/Public
/al/bessemer/bessemer-city-tigers/,al,Bessemer City High School,Duane Hale,,Tigers,Co-Ed/Public
/al/bay-minette/baldwin-county-tigers/,al,Baldwin County High School,Scott Rials,,Tigers,Co-Ed/Public
/al/pisgah/pisgah-eagles/,al,Pisgah High School,Dwight Griffith,,Eagles,Co-Ed/Public
/al/daphne/bayside-academy-admirals/,al,Bayside Academy,Jamie Ferguson,,Admirals,Co-Ed/Public
/al/birmingham/wenonah-dragons/,al,Wenonah High School,Kimberly Evans,,Dragons,Co-Ed/Public
/al/millbrook/stanhope-elmore-mustangs/,al,Stanhope Elmore High School,Brian Bradford,,Mustangs,Co-Ed/Public
/al/mobile/williamson-lions/,al,Williamson High School,Bobby Parrish,,Lions,Co-Ed/Public
/al/tuscaloosa/american-christian-academy-patriots/,al,American Christian Academy,Rob Cain,,Patriots,/Private
/al/arab/arab-knights/,al,Arab High School,Kevin Collins,,Knights,Co-Ed/Public
/al/pell-city/pell-city-panthers/,al,Pell City High School,Keith Etheredge,,Panthers,Co-Ed/Public
/al/new-market/buckhorn-bucks/,al,Buckhorn High School,David Carroll,,Bucks,Co-Ed/Public
/al/boaz/boaz-pirates/,al,Boaz High School,Patrick Williams,,Pirates,Co-Ed/Public
/al/fairhope/st-michael-catholic-cardinals/,al,St. Michael Catholic High School,David Offerle,,Cardinals ,NA
/al/eclectic/elmore-county-panthers/,al,Elmore County High School,Kyle Caldwell,,Panthers,Co-Ed/Public
/al/birmingham/oak-mountain-eagles/,al,Oak Mountain High School,David Hogue,,Eagles,Co-Ed/Public
/al/tuscaloosa/central-falcons/,al,Central High School,Whitney Clark,,Falcons,Co-Ed/Public
/al/huntsville/westminster-christian-academy-wildcats/,al,Westminster Christian Academy,Jonathan Adams,,Wildcats,/Private
/al/clanton/chilton-county-tigers/,al,Chilton County High School,Tal Morrison,,Tigers,Co-Ed/Public
/al/adamsville/minor-tigers/,al,Minor High School,Kim Glass,,Tigers,Co-Ed/Public
/al/warrior/corner-yellow-jackets/,al,Corner High School,Suzie McCormack,,Yellow Jackets,Co-Ed/Public
/al/lowndesboro/lowndes-academy-rebels/,al,Lowndes Academy,Art Sullivan,,Rebels,Co-Ed/Public
/al/irvington/bryant-hurricanes/,al,Bryant High School,Bill Donald,,Hurricanes,Co-Ed/Public
/al/locust-fork/locust-fork-hornets/,al,Locust Fork High School,Billy Adams,,Hornets,Co-Ed/Public
/al/cottonwood/cottonwood-bears/,al,Cottonwood High School,Dustin Harrison,,Bears,Co-Ed/Public
/al/winfield/winfield-pirates/,al,Winfield High School,Amber Deline,,Pirates,Co-Ed/Public
/al/eight-mile/blount-leopards/,al,Blount High School,k p,,Leopards,Co-Ed/Public
/al/springville/springville-tigers/,al,Springville High School,Keith Maple,,Tigers,Co-Ed/Public
/al/smiths/smiths-station-panthers/,al,Smiths Station High School,Shana Johnson/ Steven A. Davis,,Panthers,Co-Ed/Public
/al/tuscumbia/deshler-tigers/,al,Deshler High School,Patrick Smith,,Tigers,Co-Ed/Public
/al/fairfield/fairfield-tigers/,al,Fairfield High School,Peyton Lee,,Tigers,Co-Ed/Public
/al/mobile/murphy-panthers/,al,Murphy High School,Rico Jackson ,,Panthers,Co-Ed/Public
/al/seale/russell-county-warriors/,al,Russell County High School,Larry Knox,,Warriors,Co-Ed/Public
/al/decatur/decatur-red-raiders/,al,Decatur High School,Mike Ward,,Red Raiders,Co-Ed/Public
/al/gadsden/coosa-christian-conquerors/,al,Coosa Christian High School,Amanda Justus,,Conquerors,/Private
/al/opelika/beauregard-hornets/,al,Beauregard High School,Rob Carter,,Hornets,Co-Ed/Public
/al/deatsville/holtville-bulldogs/,al,Holtville High School,Hunter Adams,,Bulldogs,Co-Ed/Public
/al/flomaton/flomaton-hurricanes/,al,Flomaton High School,Krista Stacey,,Hurricanes,Co-Ed/Public
/al/east-brewton/ws-neal-eagles/,al,W.S. Neal High School,Allison Svoboda,,Eagles,Co-Ed/Public
/al/anniston/anniston-bulldogs/,al,Anniston High School,Keith robinson,,Bulldogs,Co-Ed/Public
/al/tuscaloosa/northridge-jaguars/,al,Northridge High School,Mike Vickery,,Jaguars,Co-Ed/Public
/al/killen/brooks-lions/,al,Brooks High School,Jerry Hill,,Lions,Co-Ed/Public
/al/boaz/sardis-lions/,al,Sardis High School,Chris Garmon,,Lions,Co-Ed/Public
/al/piedmont/piedmont-bulldogs/,al,Piedmont High School,Steve Smith,,Bulldogs,Co-Ed/Public
/al/wedowee/randolph-county-tigers/,al,Randolph County High School,Pat Prestridge,,Tigers,Co-Ed/Public
/al/cottondale/paul-w-bryant-stampede/,al,Paul W. Bryant High School,Malcolm Gross,,Stampede,Co-Ed/Public
/al/hokes-bluff/hokes-bluff-eagles/,al,Hokes Bluff High School,Mike Robertson,,Eagles,Co-Ed/Public
/al/birmingham/banks-academy-jets/,al,Banks Academy,NA,,Jets,NA
/al/goshen/goshen-eagles/,al,Goshen High School,Joe Thornton,,Eagles,Co-Ed/Public
/al/atmore/escambia-county-blue-devils/,al,Escambia County High School,Rico Jackson,,Blue Devils,Co-Ed/Public
/al/florence/central-wildcats/,al,Central High School,Thomas Combs Jr,,Wildcats,Co-Ed/Public
/al/huntsville/lee-generals/,al,Lee High School,Tony Woods/ Butch Weaver,,Generals,Co-Ed/Public
/al/montgomery/alabama-christian-academy-eagles/,al,Alabama Christian Academy,Aaron Greenwood,,Eagles,Co-Ed/Private
/al/georgiana/georgiana-panthers/,al,Georgiana High School,Kirk Norris,,Panthers,Co-Ed/Public
/al/huntsville/randolph-school-raiders/,al,Randolph School,Blake Davenport,,Raiders,Co-Ed/Private
/al/evergreen/hillcrest-jaguars/,al,Hillcrest High School,Justin Nared,,Jaguars,Co-Ed/Public
/al/haleyville/haleyville-lions/,al,Haleyville High School,Wayne Wilkes,,Lions,Co-Ed/Public
/al/moulton/lawrence-county-red-devils/,al,Lawrence County High School,Robyn Hutto,,Red Devils,Co-Ed/Public
/al/montgomery/jag-jaguars/,al,JAG High School,Bernard Davison,,Jaguars,Co-Ed/Public
/al/oneonta/oneonta-redskins/,al,Oneonta High School,Keith Bender,,Redskins,Co-Ed/Public
/al/millry/millry-wildcats/,al,Millry High School,Greg Crager,,Wildcats,Co-Ed/Public
/al/tuscaloosa/tuscaloosa-academy-knights/,al,Tuscaloosa Academy,Todd Bradford,,Knights,Co-Ed/Public
/al/montgomery/park-crossing-thunderbirds/,al,Park Crossing High School,Nicole Ivey,,Thunderbirds,NA
/al/elberta/elberta-warriors/,al,Elberta High School,Jason Thompson,,Warriors,NA
/al/dora/dora-bulldogs/,al,Dora High School,Bart Lockhart,,Bulldogs,Co-Ed/Public
/al/montgomery/montgomery-academy-eagles/,al,Montgomery Academy,Robert Johnson,,Eagles,Co-Ed/Public
/al/buhl/sipsey-valley-bears/,al,Sipsey Valley High School,Dennis Alvarez,,Bears,NA
/al/west-blocton/west-blocton-tigers/,al,West Blocton High School,David Steele,,Tigers,Co-Ed/Public
/al/greenville/fort-dale-academy-eagles/,al,Fort Dale Academy,james sampley,,Eagles,Co-Ed/Public
/al/sweet-water/sweet-water-bulldogs/,al,Sweet Water High School,Stacy Luker,,Bulldogs,Co-Ed/Public
/al/huntsville/grissom-tigers/,al,Grissom High School,James Coln,,Tigers,Co-Ed/Public
/al/dothan/providence-christian-eagles/,al,Providence Christian High School,William Oldfield,,Eagles,/Private
/al/brundidge/pike-county-bulldogs/,al,Pike County High School,Wayne Grant,,Bulldogs,Co-Ed/Public
/al/birmingham/carver-birmingham-rams/,al,Carver Birmingham High School,Alvin Moore,,Rams,Co-Ed/Public
/al/sulligent/sulligent-blue-devils/,al,Sulligent High School,Craig Weeks,,Blue Devils,Co-Ed/Public
/al/grove-hill/clarke-county-bulldogs/,al,Clarke County High School,Stacy Luker,,Bulldogs,Co-Ed/Public
/al/wadley/wadley-bulldogs/,al,Wadley High School,Shenan Motley,,Bulldogs,Co-Ed/Public
/al/birmingham/fultondale-wildcats/,al,Fultondale High School,Keith Register,,Wildcats,Co-Ed/Public
/al/calera/calera-eagles/,al,Calera High School,Jason Hamlin,,Eagles,Co-Ed/Public
/al/thorsby/thorsby-rebels/,al,Thorsby High School,Daryl Davis,,Rebels,Co-Ed/Public
/al/ohatchee/ohatchee-indians/,al,Ohatchee High School,Michael Graham,,Indians,Co-Ed/Public
/al/tanner/tanner-rattlers/,al,Tanner High School,Vince Green,,Rattlers,Co-Ed/Public
/al/butler/patrician-academy-saints/,al,Patrician Academy,Marcus Walters,,Saints,Co-Ed/Public
/al/montevallo/montevallo-bulldogs/,al,Montevallo High School,Brandon Wilcox,,Bulldogs,Co-Ed/Public
/al/maplesville/isabella-mustangs/,al,Isabella High School,Matthew Leonard,,Mustangs,Co-Ed/Public
/al/sylacauga/sylacauga-aggies/,al,Sylacauga High School,Chad Wilkinson,,Aggies,Co-Ed/Public
/al/greenville/greenville-tigers/,al,Greenville High School,Josh McLendon,,Tigers,Co-Ed/Public
/al/mobile/leflore-rattlers/,al,LeFlore High School,Derrick Gray,,Rattlers,Co-Ed/Public
/al/luverne/luverne-tigers/,al,Luverne High School,Robert Williams,,Tigers,Co-Ed/Public
/al/huntsville/mae-jemison-jaguars/,al,Mae Jemison High School,Jennifer Jones,,Jaguars,/Public
/al/prattville/autauga-academy-generals/,al,Autauga Academy,NA,,Generals,Co-Ed/Public
/al/florence/rogers-pirates/,al,Rogers High School,Tim Tubbs,,Pirates,Co-Ed/Public
/al/rainbow-city/westbrook-christian-warriors/,al,Westbrook Christian High School,Steve Smith,,Warriors,/Private
/al/heflin/cleburne-county-tigers/,al,Cleburne County High School,Mike Altman,,Tigers,Co-Ed/Public
/al/birmingham/woodlawn-colonels/,al,Woodlawn High School,Karl Powe,,Colonels,Co-Ed/Public
/al/selma/southside-panthers/,al,Southside High School,Ce B,,Panthers,Co-Ed/Public
/al/jasper/jasper-vikings/,al,Jasper High School,Jonanthan Jordan,,Vikings,Co-Ed/Public
/al/excel/excel-panthers/,al,Excel High School,Kevin York,,Panthers,Co-Ed/Public
/al/rainsville/plainview-bears/,al,Plainview High School,Ronald Bell,,Bears,Co-Ed/Public
/al/opp/opp-bobcats/,al,Opp High School,Matt Brunson,,Bobcats,Co-Ed/Public
/al/lexington/lexington-golden-bears/,al,Lexington High School,Willie Joiner,,Golden Bears,Co-Ed/Public
/al/birmingham/jackson-olin-mustangs/,al,Jackson-Olin High School,Tomysyne Ford,,Mustangs,Co-Ed/Public
/al/brantley/brantley-bulldogs/,al,Brantley High School,Roland Jones,,Bulldogs,Co-Ed/Public
/al/oakman/oakman-wildcats/,al,Oakman High School,Joel Hagood,,Wildcats,Co-Ed/Public
/al/anniston/wellborn-panthers/,al,Wellborn High School,Jeff Smith,,Panthers,Co-Ed/Public
/al/douglas/douglas-eagles/,al,Douglas High School,Patrick Smith,,Eagles,Co-Ed/Public
/al/priceville/priceville-bulldogs/,al,Priceville High School,Dennis Morris,,Bulldogs,Co-Ed/Public
/al/newton/wicksburg-panthers/,al,Wicksburg High School,Danny Whiddon,,Panthers,Co-Ed/Public
/al/camden/wilcox-academy-wildcats/,al,Wilcox Academy,Phillip Merryman,,Wildcats,Co-Ed/Public
/al/dadeville/dadeville-tigers/,al,Dadeville High School,Richard White,,Tigers,Co-Ed/Public
/al/leighton/colbert-county-indians/,al,Colbert County High School,Brett Mask,,Indians,Co-Ed/Public
/al/lynn/lynn-bears/,al,Lynn High School,Todd Tittle,,Bears,Co-Ed/Public
/al/midland-city/dale-county-warriors/,al,Dale County High School,jordan johnson,,Warriors,Co-Ed/Public
/al/blountsville/pennington-tigers/,al,Pennington High School,Todd Cassity,,Tigers,Co-Ed/Public
/al/lanett/lanett-panthers/,al,Lanett High School,Clifford Story Jr.,,Panthers,Co-Ed/Public
/al/maplesville/maplesville-red-devils/,al,Maplesville High School,Brent Hubbert,,Red Devils,Co-Ed/Public
/al/robertsdale/robertsdale-golden-bears/,al,Robertsdale High School,Kyle Stanford,,Golden Bears,Co-Ed/Public
/al/satsuma/satsuma-gators/,al,Satsuma High School,Rodney Jordan,,Gators,Co-Ed/Public
/al/new-brockton/new-brockton-gamecocks/,al,New Brockton High School,Justin Jones,,Gamecocks,Co-Ed/Public
/al/attalla/etowah-blue-devils/,al,Etowah High School,Kimberly Klein,,Blue Devils,Co-Ed/Public
/al/jackson/jackson-academy-eagles/,al,Jackson Academy,Jacob Webb,,Eagles,Co-Ed/Public
/al/ariton/ariton-purple-cats/,al,Ariton High School,Joshua Herring,,Purple Cats,Co-Ed/Public
/al/skipperville/long-rebels/,al,Long High School,David Watts,,Rebels,Co-Ed/Public
/al/lester/west-limestone-wildcats/,al,West Limestone High School,Dakota James,,Wildcats,Co-Ed/Public
/al/prattville/prattville-christian-academy-panthers/,al,Prattville Christian Academy,Tara Osborne,,Panthers,/Private
/al/somerville/brewer-patriots/,al,Brewer High School,Kevin Serrett,,Patriots,Co-Ed/Public
